PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,ContactPositionX,ContactPositionY,ContactPositionZ
1,04/16/2019,6:30:58 PM,1,1,"Kim, Kun Kuk",76225,Right,LOT_GIA,"Choi, Won Jun",66606,Left,KIA_TIG,Windup,1,Top,0,0,0,Fastball,Fastball,InPlay,Undefined,FlyBall,Out,1,0,,146.3160402,-2.799692539,-1.444765679,2149.716929,210.4842084,1:00,1.781170564,0.378931992,1.753950115,-35.74956004,50.04496012,29.50764438,0.628507044,0.264036567,134.3091385,-5.423174183,0.731512267,0.418296697,149.067928,28.14652406,-22.41215706,3536.717814,29.7824218,15.23017098,-15.39903738,103.0712384,100.6484901,-36.44660522,4.322487183,-16.79213469,28.71665527,-0.344600783,15.24,1.707779208,0.895412539,-40.28733699,-2.117003503,-3.580487379,8.233050779,-3.683567755,LOT_GIA,KIA_TIG,Sajik,KBO,KBO,20190416-Sajik-1,5a6485b1-602a-11e9-af39-484d7ee4b922,0.503813114,0.635335842,-0.26312403
2,04/16/2019,6:31:36 PM,2,1,"Kim, Kun Kuk",76225,Right,LOT_GIA,"Ryu, Seung Hyun",66615,Left,KIA_TIG,Windup,1,Top,1,0,0,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,146.0495618,-3.090823932,-2.58501513,2255.232874,208.6412134,1:00,1.807356044,0.382298979,1.755440153,-40.18188418,45.7796897,25.0467741,0.526994734,-0.10104167,134.5621124,-6.032796792,-0.742454341,0.418703739,,,,,,,,,,,,-15.08786146,26.52336248,-0.318881293,15.24,1.726289042,1.711922215,-40.18654578,-2.336469044,-3.213301621,7.883483647,-4.157899588,LOT_GIA,KIA_TIG,Sajik,KBO,KBO,20190416-Sajik-1,6e0ecd8a-602a-11e9-af39-484d7ee4b922,,,
3,04/16/2019,6:31:49 PM,2,2,"Kim, Kun Kuk",76225,Right,LOT_GIA,"Ryu, Seung Hyun",66615,Left,KIA_TIG,Windup,1,Top,1,0,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,118.4487036,3.056268977,0.681877112,2533.837711,39.8004105,7:15,1.818523389,0.348506993,1.703522187,-167.8046458,-35.04623227,-29.09584548,1.011128362,0.251608716,108.798761,-9.249332097,-1.466601959,0.520338172,,,,,,,,,,,,16.03957174,-20.96643231,-0.364076272,15.24,1.885492954,-0.289481229,-32.58646743,1.172792875,2.218661946,5.831061518,-12.7068163,LOT_GIA,KIA_TIG,Sajik,KBO,KBO,20190416-Sajik-1,763e0955-602a-11e9-af39-484d7ee4b922,,,
4,04/16/2019,6:32:03 PM,2,3,"Kim, Kun Kuk",76225,Right,LOT_GIA,"Ryu, Seung Hyun",66615,Left,KIA_TIG,Windup,1,Top,1,1,1,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,113.7623255,2.579987224,-0.292049193,2470.996932,40.92672217,7:15,1.822164152,0.330430131,1.750507734,-179.2724098,-35.90723144,-31.01627062,0.76205101,-0.062606196,104.7302559,-10.58414936,-2.591158097,0.540725063,,,,,,,,,,,,16.44664286,-21.26200469,-0.32078071,15.24,1.874466978,0.257471004,-31.31222816,0.845288367,2.093328538,5.549338482,-12.51287774,LOT_GIA,KIA_TIG,Sajik,KBO,KBO,20190416-Sajik-1,7ebbee3a-602a-11e9-af39-484d7ee4b922,,,
5,04/16/2019,6:32:19 PM,2,4,"Kim, Kun Kuk",76225,Right,LOT_GIA,"Ryu, Seung Hyun",66615,Left,KIA_TIG,Windup,1,Top,1,1,2,Fastball,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,,146.325867,-1.173287401,-3.036329254,2221.171818,224.4949309,1:30,1.778275829,0.349251599,1.7668932,-49.8966733,35.43989322,34.8993565,0.946194344,-0.163292595,134.7132294,-4.839264655,-0.468144374,0.417178812,103.3366081,38.48040135,-162.4681011,3370.750713,-32.19495491,10.97330789,-9.359844034,51.65066537,19.90824545,-164.1755114,2.738046265,-20.67312205,19.76380582,-0.275715091,15.24,1.745263905,1.995484153,-40.30047689,-1.029843463,-4.429469097,7.897810974,-5.572013021,LOT_GIA,KIA_TIG,Sajik,KBO,KBO,20190416-Sajik-1,88e6e1d8-602a-11e9-af39-484d7ee4b922,0.29994241,0.934991524,0.164342668
6,04/16/2019,6:32:45 PM,2,5,"Kim, Kun Kuk",76225,Right,LOT_GIA,"Ryu, Seung Hyun",66615,Left,KIA_TIG,Windup,1,Top,1,1,2,ChangeUp,ChangeUp,InPlay,Undefined,GroundBall,Out,1,0,,133.204664,-1.040665466,-0.739750965,1777.779429,224.6992311,1:30,1.799327407,0.351928423,1.900368021,-66.82124949,34.46471966,34.19900411,0.83847738,0.485927439,122.7466324,-5.986746357,1.803628898,0.454495203,102.407046,-13.27378039,-41.95854646,,,,,3.376190663,3.183654766,-49.63617801,0.113460083,-19.14734318,19.49405603,-0.337197289,15.24,1.771680203,0.357751787,-36.75166601,-0.895824166,-3.399223628,6.81763159,-6.345874517,LOT_GIA,KIA_TIG,Sajik,KBO,KBO,20190416-Sajik-1,91d99360-602a-11e9-af39-484d7ee4b922,-0.113772354,0.780316888,-0.503577038
7,04/16/2019,6:33:30 PM,3,1,"Kim, Kun Kuk",76225,Right,LOT_GIA,"An, Chi Hong",79608,Right,KIA_TIG,Windup,1,Top,2,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,115.9888027,4.498985504,0.851426369,2378.130306,37.3373972,7:15,1.81077791,0.332481907,1.731462327,-178.1705101,-40.07737706,-30.4730953,1.309991012,0.269655511,106.4466843,-8.586438644,-1.399481835,0.530689753,,,,,,,,,,,,16.92561732,-24.6868414,-0.352035158,15.24,1.913055953,-0.374185181,-31.86635942,1.926531526,2.244911287,5.441782421,-13.080963,LOT_GIA,KIA_TIG,Sajik,KBO,KBO,20190416-Sajik-1,acb1a7e8-602a-11e9-af39-484d7ee4b922,,,
8,04/16/2019,6:33:46 PM,3,2,"Kim, Kun Kuk",76225,Right,LOT_GIA,"An, Chi Hong",79608,Right,KIA_TIG,Windup,1,Top,2,1,0,Slider,Cutter,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,138.4330004,-1.532720973,-2.38428604,2416.560096,164.1360062,11:30,1.827878197,0.329674795,1.739203647,-65.25474171,29.75180162,-8.480198188,0.739617049,-0.432562041,128.8089432,-6.283459291,-3.004487651,0.440181128,,,,,,,,,,,,3.112136137,16.78652948,-0.268181047,15.24,1.783827705,1.622142643,-38.15589585,-1.279000649,0.601947544,6.565811964,-6.559809325,LOT_GIA,KIA_TIG,Sajik,KBO,KBO,20190416-Sajik-1,bb978139-602a-11e9-af39-484d7ee4b922,,,
9,04/16/2019,6:34:07 PM,3,3,"Kim, Kun Kuk",76225,Right,LOT_GIA,"An, Chi Hong",79608,Right,KIA_TIG,Windup,1,Top,2,1,1,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,145.6139455,-3.145863988,-3.71122097,2364.88501,205.1525706,12:45,1.78564102,0.3500973,1.822581032,-35.14744863,51.13199519,24.04730226,0.542678748,-0.459339073,133.4812775,-5.737159517,-1.934040006,0.419477169,,,,,,,,,,,,-15.52141126,29.78067024,-0.262312734,15.24,1.707383836,2.502183915,-40.02197619,-2.341353414,-3.263831497,8.179903562,-3.544391503,LOT_GIA,KIA_TIG,Sajik,KBO,KBO,20190416-Sajik-1,c789bc34-602a-11e9-af39-484d7ee4b922,,,
10,04/16/2019,6:34:24 PM,3,4,"Kim, Kun Kuk",76225,Right,LOT_GIA,"An, Chi Hong",79608,Right,KIA_TIG,Windup,1,Top,2,2,1,Curveball,Curveball,InPlay,Undefined,GroundBall,Out,1,0,,116.8559001,2.349723429,-0.717170117,2528.625462,39.03370836,7:15,1.815756336,0.283019302,1.737540432,-178.6744752,-42.38920799,-34.26352589,0.696735797,-0.263295613,107.5300117,-10.75891061,-3.255737236,0.527204508,155.7527796,1.317767062,-10.74229629,,,,,17.76327835,16.92053221,-9.793186475,0.423336792,17.83900108,-24.57564014,-0.262172758,15.24,1.862606019,0.514282707,-32.16088344,0.737267075,2.391102352,5.94288826,-13.10071735,LOT_GIA,KIA_TIG,Sajik,KBO,KBO,20190416-Sajik-1,d07c6db5-602a-11e9-af39-484d7ee4b922,0.403894571,0.69141826,0.26488424
