PitchCall	PlateLocHeight	PlateLocSide
BallCalled	0.67151345	0.509015021
StrikeCalled	0.553227053	-0.234917408
StrikeCalled	0.485093443	-0.04202134
BallCalled	0.623261142	0.695184695
FoulBall	0.597142222	-0.066060266
FoulBall	0.544934157	-0.061457567
InPlay	0.403337544	0.011154529
BallCalled	1.184038023	0.067552345
StrikeSwinging	0.855588161	0.008203149
FoulBall	0.585370998	-0.084531897
InPlay	0.581943253	-0.203919985
FoulBall	0.860453652	-0.11572847
FoulBall	0.483538188	-0.22158999
FoulBall	0.779093258	0.091222424
FoulBall	0.569216524	-0.229549049
StrikeCalled	0.625620447	-0.083073167
StrikeCalled	0.653963303	-0.058534038
StrikeCalled	0.705933199	-0.23348561
BallCalled	0.416841928	-0.48493492
StrikeCalled	0.832704963	0.29592113
StrikeCalled	0.791553532	-0.12661877
StrikeCalled	0.520087836	0.015955916
BallCalled	0.654136384	-0.387426013
BallCalled	0.559005519	-0.541225901
StrikeSwinging	0.595581673	-0.118697128
BallCalled	1.088515032	0.086369509
BallCalled	0.35035239	0.127704452
BallCalled	1.129884908	0.486670006
BallCalled	0.446613302	-0.090184292
StrikeCalled	0.720825232	-0.023501999
FoulBall	0.580307932	0.091489142
FoulBall	0.697758477	-0.345583223
InPlay	0.910114234	-0.428879816
BallCalled	0.675462203	-0.447780081
BallCalled	0.359945413	-0.228959278
BallCalled	0.240067473	-0.310604595
StrikeCalled	1.005741786	0.050295414
BallCalled	1.283852319	0.308526896
BallCalled	0.781914105	0.450607886
StrikeCalled	0.467091608	-0.223876686
BallCalled	0.351688542	-0.342963633
BallCalled	0.945790014	0.583178302
BallCalled	0.798200889	0.509171013
StrikeCalled	0.51011415	0.073545664
StrikeSwinging	0.659168254	-0.089660853
InPlay	0.779339801	0.108667346
BallCalled	0.786395845	-0.419108023
BallCalled	0.959715198	-0.415072372
InPlay	0.899067501	-0.000355188
BallCalled	0.877073369	0.47401267
InPlay	0.857892762	0.317525735
BallCalled	0.779953495	0.42352088
BallCalled	1.026664805	-0.59905295
BallCalled	0.571401189	0.309295381
StrikeCalled	0.829642488	-0.062150261
FoulBall	0.684203199	0.031987461
InPlay	0.376362915	0.294852024
BallCalled	0.397487428	0.384182695
StrikeSwinging	0.549794506	-0.185566838
StrikeSwinging	0.590527883	0.154357201
StrikeSwinging	0.506180051	-0.135755945
StrikeCalled	0.600498243	-0.286880087
InPlay	0.561629174	-0.262978868
BallCalled	1.312592336	-0.058165395
InPlay	0.77652612	0.050259694
FoulBall	0.793077661	0.097472363
BallCalled	1.14160274	-0.08515957
FoulBall	1.19366067	0.060988154
InPlay	0.685064403	0.056347645
StrikeCalled	0.649071284	-0.041894868
StrikeSwinging	0.53719197	0.007782958
FoulBall	0.673151808	-0.156427999
InPlay	0.808497447	0.239735653
StrikeCalled	0.505290112	0.161146814
StrikeCalled	0.64254067	0.182353421
FoulBall	0.623687275	0.424838077
InPlay	0.614247086	0.262905454
StrikeCalled	0.749924661	-0.218396084
FoulBall	0.571091573	-0.064752135
BallCalled	0.383910036	-0.537925521
InPlay	0.335623968	-0.302688779
BallCalled	0.636891659	-0.437933599
StrikeCalled	0.721706499	-0.103856986
InPlay	0.748043527	0.05165666
InPlay	0.819141506	0.084959814
