GTGTTCTATTTTT
         5742 function calls (5643 primitive calls) in 0.014 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        7    0.004    0.001    0.004    0.001 {built-in method io.open_code}
        7    0.002    0.000    0.002    0.000 {built-in method marshal.loads}
       31    0.001    0.000    0.001    0.000 {built-in method nt.stat}
        7    0.001    0.000    0.001    0.000 {method 'read' of '_io.BufferedReader' objects}
       66    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
       24    0.000    0.000    0.001    0.000 {built-in method builtins.__build_class__}
        2    0.000    0.000    0.000    0.000 enum.py:1643(convert_class)
     10/4    0.000    0.000    0.000    0.000 _parser.py:507(_parse)
       13    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1604(find_spec)
        9    0.000    0.000    0.001    0.000 enum.py:485(__new__)
       65    0.000    0.000    0.000    0.000 enum.py:353(__setitem__)
   102/98    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x00007FFDAB7A8F90}
        8    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
        7    0.000    0.000    0.007    0.001 <frozen importlib._bootstrap_external>:1007(get_code)
        8    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:1056(_find_spec)
     14/4    0.000    0.000    0.000    0.000 _compiler.py:37(_compile)
      202    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
      8/1    0.000    0.000    0.014    0.014 {built-in method builtins.exec}
        1    0.000    0.000    0.000    0.000 {built-in method nt.listdir}
        1    0.000    0.000    0.000    0.000 {method 'read' of '_io.TextIOWrapper' objects}
      8/1    0.000    0.000    0.013    0.013 <frozen importlib._bootstrap>:1167(_find_and_load)
       87    0.000    0.000    0.000    0.000 enum.py:78(_is_private)
      7/1    0.000    0.000    0.012    0.012 <frozen importlib._bootstrap_external>:934(exec_module)
      6/4    0.000    0.000    0.000    0.000 _parser.py:447(_parse_sub)
       16    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        1    0.000    0.000    0.000    0.000 {built-in method io.open}
       60    0.000    0.000    0.000    0.000 enum.py:828(__setattr__)
  689/675    0.000    0.000    0.000    0.000 {built-in method builtins.len}
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:100(acquire)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.input}
        4    0.000    0.000    0.000    0.000 _parser.py:970(parse)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:437(cache_from_source)
      446    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
       66    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:119(<listcomp>)
        1    0.000    0.000    0.001    0.001 enum.py:1(<module>)
        4    0.000    0.000    0.000    0.000 _compiler.py:571(_code)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:125(release)
       85    0.000    0.000    0.000    0.000 enum.py:47(_is_dunder)
        7    0.000    0.000    0.005    0.001 <frozen importlib._bootstrap_external>:1127(get_data)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
      197    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
       87    0.000    0.000    0.000    0.000 enum.py:58(_is_sunder)
        1    0.000    0.000    0.011    0.011 __init__.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _compiler.py:1(<module>)
        7    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1464(_get_spec)
      241    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        1    0.000    0.000    0.001    0.001 _parser.py:1(<module>)
       12    0.000    0.000    0.000    0.000 enum.py:978(_find_data_type_)
      8/1    0.000    0.000    0.013    0.013 <frozen importlib._bootstrap>:1122(_find_and_load_unlocked)
     16/6    0.000    0.000    0.000    0.000 _parser.py:172(getwidth)
        4    0.000    0.000    0.000    0.000 enum.py:237(__set_name__)
       20    0.000    0.000    0.000    0.000 {built-in method builtins.max}
        4    0.000    0.000    0.000    0.000 _compiler.py:509(_compile_info)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:493(_init_module_attrs)
      334    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
       13    0.000    0.000    0.000    0.000 {method 'search' of 're.Pattern' objects}
     18/2    0.000    0.000    0.011    0.006 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
      8/1    0.000    0.000    0.012    0.012 <frozen importlib._bootstrap>:666(_load_unlocked)
       70    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:566(module_from_spec)
       95    0.000    0.000    0.000    0.000 _parser.py:162(__getitem__)
       76    0.000    0.000    0.000    0.000 _constants.py:57(__new__)
       19    0.000    0.000    0.000    0.000 enum.py:932(_check_for_existing_members_)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:778(spec_from_file_location)
