GTGTTCTATTTTT
         5565 function calls (5470 primitive calls) in 0.014 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        7    0.004    0.001    0.004    0.001 {built-in method io.open_code}
        7    0.002    0.000    0.002    0.000 {built-in method marshal.loads}
       31    0.001    0.000    0.001    0.000 {built-in method nt.stat}
        7    0.001    0.000    0.001    0.000 {method 'read' of '_io.BufferedReader' objects}
       66    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
       24    0.000    0.000    0.001    0.000 {built-in method builtins.__build_class__}
        2    0.000    0.000    0.000    0.000 enum.py:1643(convert_class)
        1    0.000    0.000    0.000    0.000 {built-in method nt.listdir}
      8/1    0.000    0.000    0.014    0.014 {built-in method builtins.exec}
        8    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:1056(_find_spec)
       13    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1604(find_spec)
        1    0.000    0.000    0.000    0.000 {built-in method io.open}
   102/98    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x00007FFDAB7A8F90}
        9    0.000    0.000    0.001    0.000 enum.py:485(__new__)
       65    0.000    0.000    0.000    0.000 enum.py:353(__setitem__)
      202    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
       76    0.000    0.000    0.000    0.000 _constants.py:57(__new__)
        7    0.000    0.000    0.007    0.001 <frozen importlib._bootstrap_external>:1007(get_code)
      9/3    0.000    0.000    0.000    0.000 _parser.py:507(_parse)
        7    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
      8/1    0.000    0.000    0.013    0.013 <frozen importlib._bootstrap>:1167(_find_and_load)
       60    0.000    0.000    0.000    0.000 enum.py:828(__setattr__)
      5/3    0.000    0.000    0.000    0.000 _parser.py:447(_parse_sub)
       87    0.000    0.000    0.000    0.000 enum.py:58(_is_sunder)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:437(cache_from_source)
  662/650    0.000    0.000    0.000    0.000 {built-in method builtins.len}
       87    0.000    0.000    0.000    0.000 enum.py:78(_is_private)
     12/3    0.000    0.000    0.000    0.000 _compiler.py:37(_compile)
        7    0.000    0.000    0.005    0.001 <frozen importlib._bootstrap_external>:1127(get_data)
      8/1    0.000    0.000    0.012    0.012 <frozen importlib._bootstrap>:666(_load_unlocked)
      7/1    0.000    0.000    0.012    0.012 <frozen importlib._bootstrap_external>:934(exec_module)
        3    0.000    0.000    0.000    0.000 _constants.py:70(<listcomp>)
       85    0.000    0.000    0.000    0.000 enum.py:47(_is_dunder)
      424    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.002    0.002 _parser.py:1(<module>)
        1    0.000    0.000    0.005    0.005 _compiler.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {method 'read' of '_io.TextIOWrapper' objects}
      8/1    0.000    0.000    0.013    0.013 <frozen importlib._bootstrap>:1122(_find_and_load_unlocked)
       66    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:119(<listcomp>)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
        1    0.000    0.000    0.001    0.001 enum.py:1(<module>)
        1    0.000    0.000    0.012    0.012 __init__.py:1(<module>)
       10    0.000    0.000    0.000    0.000 {method 'search' of 're.Pattern' objects}
      197    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
       12    0.000    0.000    0.000    0.000 enum.py:978(_find_data_type_)
        4    0.000    0.000    0.000    0.000 enum.py:237(__set_name__)
     14/5    0.000    0.000    0.000    0.000 _parser.py:172(getwidth)
        7    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1464(_get_spec)
        1    0.000    0.000    0.014    0.014 hee.py:3(main)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:493(_init_module_attrs)
      241    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        2    0.000    0.000    0.000    0.000 {built-in method builtins.input}
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
        3    0.000    0.000    0.000    0.000 _compiler.py:509(_compile_info)
        3    0.000    0.000    0.000    0.000 _compiler.py:571(_code)
        1    0.000    0.000    0.000    0.000 _constants.py:1(<module>)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1408(_path_hooks)
      308    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
       19    0.000    0.000    0.000    0.000 enum.py:932(_check_for_existing_members_)
       89    0.000    0.000    0.000    0.000 _parser.py:162(__getitem__)
        3    0.000    0.000    0.000    0.000 _constants.py:71(<dictcomp>)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:100(acquire)
        2    0.000    0.000    0.000    0.000 enum.py:1501(__and__)
